order_id,order_date,area,restaurant_type,distance_km,prep_time_min,delivery_time_min,order_value,rating,payment_mode
ORD1042,2026-08-11,OMR,Fast Food,6.1,9.0,33.0,241,4.6,Card
ORD1103,2026-08-26,Anna Nagar,South Indian,3.6,17.0,32.0,148,5.0,Card
ORD1005,2026-08-02,omr,Biryani,4.2,18.0,33.0,283,5.0,Card
ORD1035,2026-08-09,Velachery,South Indian,7.1,16.0,46.0,273,5.0,Card
ORD1075,2026-08-19,T Nagar,Biryani,1.2,22.0,36.0,315,4.2,Cash
ORD1025,2026-08-07,Adyar,South Indian,3.3,16.0,26.0,178,5.0,Cash
ORD1008,2026-08-03,Anna Nagar,South Indian,8.1,12.0,37.0,204,5.0,UPI
ORD1076,2026-08-20,OMR,North Indian,3.1,16.0,31.0,175,5.0,UPI
ORD1017,2026-08-05,Adyar,North Indian,6.1,16.0,42.0,171,4.8,Card
ORD1006,2026-08-02,Velachery,North Indian,5.3,19.0,39.0,303,4.7,UPI
ORD1023,2026-08-06,OMR,South Indian,4.8,17.0,36.0,130,,UPI
ORD1112,2026-08-29,Velachery,Biryani,5.5,20.0,35.0,343,5.0,UPI
ORD1052,2026-08-14,Velachery,Fast Food,5.7,14.0,,251,5.0,Cash
ORD1087,2026-08-22,Velachery,Biryani,7.3,21.0,45.0,402,5.0,Cash
ORD1015,2026-08-04,T Nagar,South Indian,7.0,27.0,,251,4.3,Card
ORD1099,2026-08-25,Adyar,North Indian,6.5,22.0,44.0,220,5.0,UPI
ORD1034,2026-08-09,OMR,Fast Food,4.2,20.0,38.0,319,,UPI
ORD1053,2026-08-14,Velachery,Fast Food,7.7,21.0,42.0,244,5.0,UPI
ORD1009,2026-08-03,Adyar,North Indian,2.6,19.0,35.0,114,4.6,Card
ORD1065,2026-08-17,Velachery,Chinese,2.5,23.0,32.0,91,5.0,UPI
ORD1058,2026-08-15,Velachery,Chinese,3.7,19.0,41.0,154,,UPI
ORD1087,2026-08-22,Velachery,Biryani,7.3,21.0,45.0,402,5.0,Cash
ORD1059,2026-08-15,Velachery,North Indian,3.4,18.0,31.0,161,5.0,Card
