tenure_months,monthly_charges,complaints,churn
20,967.0,3,1
8,636.0,1,0
41,786.0,0,0
23,986.0,0,0
3,752.0,0,0
57,1044.0,0,0
54,987.0,0,0
7,958.0,1,1
43,1247.0,2,0
25,408.0,0,0
4,371.0,0,0
48,1035.0,2,0
51,1132.0,0,0
2,1453.0,0,1
7,1077.0,1,1
5,1099.0,0,1
57,585.0,2,0
55,1076.0,2,0
50,1052.0,0,0
41,533.0,0,0
6,581.0,0,0
16,817.0,0,0
31,936.0,2,1
29,200.0,2,0
7,871.0,1,0
15,919.0,1,0
42,797.0,0,0
53,930.0,0,0
7,987.0,1,1
57,547.0,0,0
19,975.0,2,1
5,775.0,1,1
54,566.0,0,0
31,913.0,1,0
40,1296.0,1,0
11,412.0,0,0
54,354.0,2,0
24,354.0,0,0
22,1443.0,0,0
44,775.0,2,0
45,832.0,1,0
43,614.0,0,0
14,568.0,0,0
12,242.0,0,0
34,901.0,0,0
20,928.0,0,0
3,257.0,0,0
26,537.0,0,0
46,627.0,0,0
23,842.0,0,0
25,923.0,2,1
41,1188.0,0,0
58,1259.0,1,0
47,1171.0,0,0
9,1252.0,2,1
20,500.0,0,0
32,684.0,2,0
27,1193.0,3,1
14,937.0,3,1
4,856.0,0,0
39,256.0,1,0
22,292.0,1,0
19,1069.0,0,0
56,952.0,0,0
49,761.0,2,0
30,726.0,0,0
54,332.0,0,0
33,961.0,2,0
55,1160.0,0,0
36,1343.0,0,0
21,865.0,1,0
34,789.0,0,0
41,521.0,2,0
48,1217.0,0,0
58,1362.0,0,0
16,666.0,1,0
7,937.0,0,0
19,877.0,0,0
35,678.0,0,0
53,200.0,0,0
54,740.0,2,0
30,1032.0,0,0
3,417.0,1,0
57,598.0,1,0
14,200.0,1,0
9,1235.0,2,1
14,1000.0,1,0
47,864.0,2,0
32,769.0,1,0
28,659.0,0,0
21,826.0,0,0
28,757.0,1,0
43,775.0,2,0
52,840.0,1,0
57,888.0,0,0
8,1315.0,1,1
44,415.0,0,0
31,929.0,0,0
22,663.0,1,0
15,508.0,2,0
4,200.0,0,0
21,1032.0,1,1
14,553.0,1,0
49,622.0,0,0
53,988.0,0,0
24,522.0,0,0
24,855.0,0,0
47,825.0,1,0
10,1088.0,3,1
1,1150.0,2,1
13,587.0,0,0
59,1122.0,3,0
27,818.0,0,0
57,884.0,1,0
2,783.0,0,0
41,1080.0,1,1
16,483.0,1,0
12,925.0,0,0
38,1200.0,1,1
39,762.0,0,0
47,1455.0,0,0
12,626.0,0,0
50,911.0,0,0
23,702.0,3,0
4,661.0,1,0
3,512.0,1,0
6,685.0,0,1
5,831.0,2,1
39,606.0,0,0
10,1112.0,0,0
32,1303.0,2,0
11,388.0,0,0
45,1097.0,1,0
50,903.0,2,0
50,920.0,1,0
15,1585.0,0,1
26,1208.0,1,0
49,947.0,2,0
48,902.0,1,0
1,200.0,0,0
